Data;Nome da Empresa;TICKER;"EBIT
12 meses
Consolidado
 Milh�es
IFRS";EV;EBIT/EV;EV/EBIT;ROE;ROIC;ROA
31/12/2010;BARDELLA;BDLL4;13.94;332.62;0.04;23.86;3.23;1.58;1.56
30/06/2010;BARDELLA;BDLL4;;408.92;;;;;
31/12/2009;BARDELLA;BDLL4;;249.24;;;;;
31/12/2020;CVC BRASIL;CVCB3;-1,403.24;4,046.49;-0.35;-2.88;-2,127.61;-59.14;-24.07
30/06/2020;CVC BRASIL;CVCB3;-987.26;3,759.24;-0.26;-3.81;382.98;-40.28;-32.28
31/12/2019;CVC BRASIL;CVCB3;276.50;8,135.53;0.03;29.42;-0.23;6.94;-0.03
30/06/2019;CVC BRASIL;CVCB3;514.29;8,477.18;0.06;16.48;17.78;11.16;3.33
31/12/2018;CVC BRASIL;CVCB3;544.12;10,019.20;0.05;18.41;23.72;14.20;4.29
30/06/2018;CVC BRASIL;CVCB3;517.27;7,491.15;0.07;14.48;27.35;16.43;4.83
31/12/2017;CVC BRASIL;CVCB3;488.97;7,647.28;0.06;15.64;29.88;18.92;4.97
30/06/2017;CVC BRASIL;CVCB3;463.02;4,830.74;0.10;10.43;37.58;27.53;5.50
31/12/2016;CVC BRASIL;CVCB3;439.37;3,329.79;0.13;7.58;27.50;28.70;5.92
30/06/2016;CVC BRASIL;CVCB3;423.71;3,265.68;0.13;7.71;30.07;29.40;6.07
31/12/2015;CVC BRASIL;CVCB3;384.45;1,837.51;0.21;4.78;26.50;29.25;6.15
30/06/2015;CVC BRASIL;CVCB3;347.67;2,717.39;0.13;7.82;33.24;30.10;6.65
31/12/2014;CVC BRASIL;CVCB3;324.08;1,947.77;0.17;6.01;31.76;46.62;6.35
30/06/2014;CVC BRASIL;CVCB3;296.02;1,668.68;0.18;5.64;33.10;51.73;6.10
31/12/2013;CVC BRASIL;CVCB3;265.55;1,985.68;0.13;7.48;35.31;55.40;5.40
30/06/2013;CVC BRASIL;CVCB3;;;;;;;
31/12/2012;CVC BRASIL;CVCB3;160.74;;;;9.55;50.32;1.17
30/06/2012;CVC BRASIL;CVCB3;;;;;;;
31/12/2011;CVC BRASIL;CVCB3;;;;;;;
30/06/2011;CVC BRASIL;CVCB3;;;;;;;
31/12/2010;CVC BRASIL;CVCB3;;;;;;;
30/06/2010;CVC BRASIL;CVCB3;;;;;;;
31/12/2009;CVC BRASIL;CVCB3;;;;;;;
31/12/2020;IGB S/A;IGBR3;-45.97;677.57;-0.07;-14.74;8.58;6.60;-106.42
30/06/2020;IGB S/A;IGBR3;-22.79;980.37;-0.02;-43.02;;-106.78;
31/12/2019;IGB S/A;IGBR3;-5.86;981.50;-0.01;-167.61;7.14;-10.64;-25.91
30/06/2019;IGB S/A;IGBR3;-3.01;945.64;0.00;-314.69;;-3.38;
31/12/2018;IGB S/A;IGBR3;-8.95;918.74;-0.01;-102.69;8.59;-10.18;-27.80
30/06/2018;IGB S/A;IGBR3;142.18;888.30;0.16;6.25;;156.64;
31/12/2017;IGB S/A;IGBR3;143.96;821.48;0.18;5.71;-5.74;237.59;18.10
30/06/2017;IGB S/A;IGBR3;-9.16;930.07;-0.01;-101.53;;-8.97;
31/12/2016;IGB S/A;IGBR3;-8.40;;;;12.01;-7.91;-42.51
30/06/2016;IGB S/A;IGBR3;-12.21;;;;;-11.82;
31/12/2015;IGB S/A;IGBR3;-10.94;812.19;-0.01;-74.27;10.85;-10.33;-35.32
30/06/2015;IGB S/A;IGBR3;34.42;785.97;0.04;22.84;;29.25;
31/12/2014;IGB S/A;IGBR3;34.23;742.25;0.05;21.68;8.68;30.97;-26.62
30/06/2014;IGB S/A;IGBR3;-4.78;789.07;-0.01;-165.15;;-0.54;
31/12/2013;IGB S/A;IGBR3;-52.11;738.35;-0.07;-14.17;43.88;-5.92;-5.32
30/06/2013;IGB S/A;IGBR3;125.28;674.26;0.19;5.38;-79.15;18.05;12.79
31/12/2012;IGB S/A;IGBR3;171.00;653.30;0.26;3.82;-317.37;23.81;23.73
30/06/2012;IGB S/A;IGBR3;-7.78;603.46;-0.01;-77.61;10.70;-1.86;-2.91
31/12/2011;IGB S/A;IGBR3;-4.93;669.63;-0.01;-135.86;13.50;-1.17;-3.90
30/06/2011;IGB S/A;IGBR3;;179.70;;;;;
31/12/2010;IGB S/A;IGBR3;0.00;85.81;0.00;-19,448.73;2.97;5.55;-9.91
30/06/2010;IGB S/A;IGBR3;;516.90;;;;;
31/12/2009;IGB S/A;IGBR3;;442.34;;;;;
31/12/2020;WLM IND COM;WLMM4;77.56;845.20;0.09;10.90;11.78;10.86;9.56
30/06/2020;WLM IND COM;WLMM4;62.73;480.69;0.13;7.66;12.28;8.79;9.35
31/12/2019;WLM IND COM;WLMM4;56.03;436.74;0.13;7.79;11.84;8.57;9.66
30/06/2019;WLM IND COM;WLMM4;38.02;198.66;0.19;5.22;6.67;6.11;5.04
31/12/2018;WLM IND COM;WLMM4;18.65;154.40;0.12;8.28;4.13;3.10;3.17
30/06/2018;WLM IND COM;WLMM4;-3.53;142.03;-0.02;-40.26;-0.05;-0.60;-0.04
31/12/2017;WLM IND COM;WLMM4;-8.62;145.03;-0.06;-16.83;-1.79;-1.51;-1.41
30/06/2017;WLM IND COM;WLMM4;-16.02;83.21;-0.19;-5.19;-2.47;-2.50;-2.02
31/12/2016;WLM IND COM;WLMM4;-27.13;47.32;-0.57;-1.74;-4.49;-4.23;-3.67
30/06/2016;WLM IND COM;WLMM4;-16.25;91.30;-0.18;-5.62;-1.93;-2.49;-1.65
